Model,MSE,R2
Linear Regression,0.1784865658571322,0.8272032264409657
Decision Tree,0.15438655986228403,0.8505349727752893
Random Forest,0.04234297753774643,0.9590068313193842
Gradient Boosting,0.0261881609508708,0.9746466648846988
